DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Chitradurga,533,Chitradurga,0,2,0,0,0,0,2,0,0,51,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15,53,0,36,0,0,0,0,0,0,0,7,0,0,1,0,0,0,9,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,0,1,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,41,1,7,3,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Davangere,535,Davanagere,0,1,0,0,0,0,5,0,0,103,14,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,3,63,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Dharwad,536,Dharwad,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Gadag,537,Gadag,0,1,0,0,0,0,2,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Kalaburagi,538,Kalaburgi,1,4,2,1,0,0,3,0,0,15,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,21,47,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Hassan,539,Hassan,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,15,109,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Haveri,540,Haveri,0,0,0,0,0,0,1,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,10,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Dharwad,536,Hubballi Dharwad City,0,0,0,0,0,0,4,0,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Belagavi,527,K.G.F.,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Kodagu,541,Kodagu,0,0,0,1,0,0,2,6,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,57,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Kolar,542,Kolar,0,3,0,0,0,0,2,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Koppal,543,Koppal,0,1,0,0,0,0,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,65,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Mandya,544,Mandya,1,4,0,0,0,0,4,0,0,102,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,67,0,30,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Dakshina Kannada,534,Mangaluru City,0,1,0,0,0,0,1,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,0,23,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Mysuru,545,Mysuru City,0,1,0,0,0,0,5,1,0,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Mysuru,545,Mysuru District,0,4,0,0,1,0,1,0,0,56,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,79,0,14,0,42,0,0,0,0,0,0,0,0,1,0,0,0,2,9,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Raichur,546,Raichur,0,3,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,36,45,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Bengaluru Urban,525,K.Railways,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Ramanagara,631,Ramanagara,0,2,0,0,0,0,0,0,0,117,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,69,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,14,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Shivamogga,547,Shimoga,0,2,3,0,0,0,2,0,0,120,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,146,0,18,0,11,0,4,0,0,0,3,0,0,3,0,0,0,5,3,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Tumakuru,548,Tumakuru,0,6,0,10,0,0,3,36,0,116,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,69,1,10,0,20,0,1,0,0,1,1,0,0,4,0,0,0,2,8,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Udupi,549,Udupi,0,1,0,0,0,1,0,0,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,1,19,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Uttara Kannada,550,Uttara Kannada,0,3,0,0,0,0,3,0,1,36,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,46,0,13,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Yadgir,635,Yadgiri,0,1,0,0,0,0,1,0,0,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,33,0,8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Belagavi,527,Belagavi City,0,4,1,3,0,0,0,3,1,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,23,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Kalaburagi,538,Kalaburgi City,1,1,0,0,0,0,6,0,0,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Karnataka,29,Vijayanagar,738,Vijayanagara,0,0,2,0,0,0,2,0,0,5,19,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,48,0,12,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Bagalkote,524,Bagalkot,1,3,0,0,0,0,4,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0,4,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Bengaluru Urban,525,Bengaluru City,2,13,3,1,0,0,33,1,1,894,27,0,0,3,3,14,0,1,1,0,0,0,0,0,0,1,0,119,276,1,83,2,33,1,1,1,4,1,6,0,4,25,0,0,0,19,4,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Bengaluru Urban,525,Bengaluru District,0,2,1,1,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,42,0,10,0,6,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Belagavi,527,Belagavi District,1,8,0,2,0,0,5,3,1,13,29,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39,45,0,10,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Ballari,528,Ballari,0,3,0,1,0,0,9,1,0,28,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,36,1,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Bidar,529,Bidar,0,2,0,2,0,0,5,0,0,6,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,24,18,0,6,0,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Vijayapura,530,Vijayapura,0,10,0,0,0,2,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Chikkaballapura,630,Chikkaballapura,1,2,1,0,0,0,11,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Chamarajanagara,531,Chamarajnagar,0,0,0,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,0,3,0,0,0,0,12,1,0,8,26,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,27,32,0,12,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Chitradurga,533,Chitradurga,0,1,0,2,0,0,0,6,0,0,70,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,128,18,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,0,0,0,0,0,0,5,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,24,0,12,1,14,2,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Davangere,535,Davanagere,0,5,0,0,0,0,14,0,0,63,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,41,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Dharwad,536,Dharwad,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Gadag,537,Gadag,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Kalaburagi,538,Kalaburgi,1,3,0,0,1,0,4,2,0,32,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,52,51,0,7,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Hassan,539,Hassan,0,0,0,0,0,0,6,0,0,51,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,31,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Haveri,540,Haveri,0,1,0,0,0,0,6,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,37,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Dharwad,536,Hubballi Dharwad City,0,2,0,0,0,2,4,0,1,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Belagavi,527,K.G.F.,0,1,0,0,0,0,2,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Kodagu,541,Kodagu,0,0,0,0,0,0,1,0,0,14,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,33,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Kolar,542,Kolar,0,0,0,0,0,1,5,0,0,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,57,21,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Koppal,543,Koppal,0,2,0,0,0,0,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Mandya,544,Mandya,0,2,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,0,8,0,29,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Dakshina Kannada,534,Mangaluru City,0,0,0,0,0,0,7,0,0,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,29,1,17,0,5,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Mysuru,545,Mysuru City,0,1,0,0,0,0,0,0,0,92,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,29,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Mysuru,545,Mysuru District,0,4,0,0,0,0,1,0,0,57,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,121,50,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Raichur,546,Raichur,0,3,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,33,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Bengaluru Urban,525,K.Railways,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Ramanagara,631,Ramanagara,0,4,0,0,1,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Shivamogga,547,Shimoga,0,6,0,0,1,0,6,0,0,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,56,0,13,0,9,0,0,0,0,0,5,0,1,0,0,0,0,12,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Tumakuru,548,Tumakuru,0,2,0,3,0,0,6,4,0,0,40,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,32,41,0,18,0,12,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Udupi,549,Udupi,0,2,0,0,0,0,0,0,0,19,3,6,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,5,26,0,4,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Uttara Kannada,550,Uttara Kannada,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,12,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Yadgir,635,Yadgiri,0,2,0,1,0,0,1,0,0,6,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,19,15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Karnataka,29,Belagavi,527,Belagavi City,0,2,0,3,0,0,2,2,1,18,3,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,9,17,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bagalkote,524,Bagalkot,0,1,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bengaluru Urban,525,Bengaluru City,1,15,2,2,1,0,22,5,1,949,9,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,318,293,2,64,10,31,1,1,0,0,3,1,0,2,15,0,0,0,15,4,0,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bengaluru Urban,525,Bengaluru District,0,6,0,0,0,0,2,12,0,27,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,7,0,4,0,0,0,0,0,2,0,0,3,0,0,0,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
