DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Gadag,537,Gadag,17,32,0,0,23,0,25,3,0,11,73,274,0,113,6,30,4,1,2,14,0,47,0,25,0,153,0,0,0,0,242,0,0,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Kalaburagi,538,Kalaburgi,81,99,3,2,57,3,52,6,19,65,161,280,0,311,16,55,30,2,10,53,7,130,10,111,0,335,0,0,0,0,1055,0,1,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Hassan,539,Hassan,60,108,0,0,49,0,79,10,3,51,196,277,0,164,9,145,0,3,26,64,10,253,0,95,0,445,0,0,2,0,1766,0,0,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Haveri,540,Haveri,25,70,1,0,40,0,22,4,0,15,73,398,0,254,10,63,0,0,0,25,3,67,0,33,0,238,0,0,0,0,647,0,0,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Dharwad,536,Hubballi Dharwad City,26,53,1,0,19,0,32,9,1,112,147,363,0,114,12,193,19,0,5,35,0,49,4,45,0,115,0,2,0,0,419,3,1,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Belagavi,527,K.G.F.,14,17,0,0,12,1,9,2,0,9,47,55,0,28,0,38,1,0,2,14,3,20,2,3,0,57,0,0,1,0,114,0,0,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Kodagu,541,Kodagu,29,54,0,0,23,0,32,4,0,21,82,214,0,16,3,76,4,0,10,19,1,58,0,19,0,99,0,0,0,0,488,0,0,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Kolar,542,Kolar,27,35,2,0,28,0,47,1,3,19,65,142,0,163,12,78,15,2,3,17,4,47,0,12,0,253,0,0,0,0,483,0,0,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Koppal,543,Koppal,20,35,0,1,35,0,27,4,0,11,57,141,0,143,4,68,3,1,3,23,2,81,4,49,0,189,0,0,0,0,457,0,0,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Mandya,544,Mandya,59,88,2,1,48,4,82,15,4,54,246,418,0,127,8,117,13,0,33,28,9,401,2,104,0,458,0,0,3,0,1601,0,0,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Dakshina Kannada,534,Mangaluru City,24,91,0,0,28,0,59,19,11,79,154,229,3,142,18,231,16,22,5,10,0,122,10,38,0,188,0,0,1,0,1148,1,0,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
